자나, 86, 166
사사, 53, 184
나하, 56, 140
가타, 64, 160
바아, 86, 155
가사, 63, 187
파자, 75, 166
다카, 56, 140
나하, 55, 179
아마, 56, 144
나라, 91, 154
라바, 83, 196
바차, 60, 184
가카, 64, 154
바다, 96, 161
아라, 94, 183
라다, 93, 140
라파, 58, 178
사다, 91, 156
아사, 75, 162
가자, 49, 188
마라, 80, 176
가자, 75, 158
바가, 51, 176
다가, 40, 191
차차, 83, 151
가라, 51, 187
카라, 93, 189
아파, 41, 140
사마, 55, 173
자파, 82, 145
가다, 45, 198
하자, 48, 183
마파, 40, 156
차나, 47, 180
나가, 98, 173
나파, 57, 146
사마, 89, 169
파마, 54, 175
아차, 48, 143
다하, 96, 164
아마, 51, 171
타파, 69, 189
카하, 79, 147
차카, 99, 155
사타, 98, 160
하아, 98, 163
바나, 84, 155
라아, 67, 186
마파, 78, 148
차다, 89, 178
사나, 79, 155
사사, 77, 191
자다, 57, 143
마다, 62, 141
바하, 75, 187
라마, 53, 170
타카, 64, 161
파타, 87, 166
카가, 60, 171
하하, 90, 188
카마, 41, 150
마마, 83, 184
나카, 60, 180
아다, 71, 179
마하, 97, 162
나라, 73, 144
차나, 85, 195
타파, 88, 197
카차, 52, 145
가사, 65, 161
사하, 59, 141
하자, 45, 182
파하, 47, 150
자마, 83, 177
가사, 76, 183
자나, 96, 188
카아, 83, 196
파바, 46, 193
하카, 71, 191
바나, 94, 178
아아, 56, 167
자아, 63, 195
가바, 54, 188
라바, 54, 148
다카, 92, 162
자바, 89, 148
마바, 88, 195
가마, 46, 174
아가, 92, 172
카다, 76, 143
마아, 71, 168
하가, 98, 154
다바, 98, 179
나타, 69, 141
자파, 62, 191
타하, 95, 143
차카, 74, 172
카바, 67, 195
하카, 60, 149
마바, 48, 155
파라, 90, 189
바다, 60, 195
가마, 48, 157
가파, 72, 167
나타, 82, 192
하마, 59, 170
다마, 55, 156
하자, 49, 173
파마, 62, 151
타카, 92, 192
아하, 45, 168
하파, 40, 190
마가, 68, 175
하마, 91, 168
자가, 46, 169
라나, 96, 191
카마, 78, 178
마자, 56, 147
마마, 95, 147
사차, 71, 154
파다, 91, 197
다파, 40, 179
라차, 98, 157
아사, 91, 149
하파, 64, 166
나바, 87, 155
아바, 55, 192
카하, 95, 154
사카, 89, 152
